epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.8333,2.24707,4.90259,1.84763,0.00144,0.86667,0.1487,0.03985,1.62835,13.0017,1.27649,0.000653333,0.000653333,0.000653333
2,193.51,2.05673,3.59228,1.66526,0.41279,0.52727,0.40506,0.15502,1.8365,9.84484,1.48574,0.001254,0.001254,0.001254
3,291.451,1.97115,3.05579,1.6862,0.50648,0.51667,0.47205,0.17329,1.81099,10.9172,1.65423,0.001788,0.001788,0.001788
4,391.184,1.98375,2.87041,1.62049,0.6744,0.58333,0.60106,0.2181,1.79352,10.2753,1.61181,0.0017,0.0017,0.0017
5,484.478,1.94407,2.56739,1.72585,0.61801,0.5933,0.5562,0.25453,1.66533,7.42516,1.52179,0.0016,0.0016,0.0016
6,587.109,1.9247,2.40783,1.70661,0.58252,0.46667,0.49162,0.20207,1.72977,7.00996,1.60956,0.00150001,0.00150001,0.00150001
7,792.06,1.82989,2.19848,1.6343,0.59894,0.52277,0.59137,0.2537,1.7283,5.52234,1.54052,0.00140001,0.00140001,0.00140001
8,890.194,1.86168,2.08664,1.60097,0.62027,0.56667,0.63432,0.26845,1.77731,4.89799,1.52308,0.00130001,0.00130001,0.00130001
9,998.104,1.80978,2.00886,1.56289,0.58458,0.65,0.62075,0.2669,1.68253,5.69637,1.52681,0.00120001,0.00120001,0.00120001
10,1114.87,1.80338,1.86567,1.59085,0.7595,0.57905,0.68316,0.30826,1.73212,3.57706,1.47686,0.00110001,0.00110001,0.00110001
11,1227.91,1.63922,1.72937,1.52798,0.8095,0.63748,0.74008,0.31059,1.76242,3.65252,1.50826,0.00100001,0.00100001,0.00100001
12,1329.13,1.57035,1.52561,1.50432,0.84104,0.70552,0.77889,0.38374,1.6515,3.11285,1.41624,0.000900011,0.000900011,0.000900011
13,1428.54,1.56735,1.47889,1.50743,0.77887,0.58333,0.69771,0.32427,1.68714,2.93378,1.45993,0.000800012,0.000800012,0.000800012
14,1524.3,1.49683,1.48229,1.4088,0.82589,0.7,0.79928,0.38339,1.86142,2.61546,1.47018,0.000700013,0.000700013,0.000700013
15,1620.76,1.49294,1.32756,1.35302,0.81594,0.78333,0.79215,0.38882,1.79165,2.37583,1.42181,0.000600014,0.000600014,0.000600014
16,1705.33,1.45567,1.2213,1.34349,0.86836,0.76961,0.83237,0.41449,1.77476,2.38046,1.44716,0.000500015,0.000500015,0.000500015
17,1802.43,1.47499,1.25809,1.37916,0.91937,0.76019,0.81713,0.38973,1.67077,2.49738,1.43906,0.000400016,0.000400016,0.000400016
18,1898.55,1.40021,1.19439,1.35898,0.83567,0.73333,0.79213,0.38759,1.71043,2.59524,1.45968,0.000300017,0.000300017,0.000300017
19,1993.48,1.41936,1.11833,1.33603,0.79074,0.69284,0.78324,0.35679,1.75939,2.56847,1.49537,0.000200018,0.000200018,0.000200018
20,2094.12,1.35762,1.14597,1.31273,0.81222,0.73333,0.78881,0.36077,1.76535,2.52716,1.5062,0.000100019,0.000100019,0.000100019
